first,second,third,likelihood_ratio
marie,elle,libération,100.00192479937992
simplement,faire,remarquer,134.5349245936432
grave,crise,économique,252.93060510291835
espagne,portugal,grèce,262.07208490243994
rien,sera,épargné,152.37780749592739
ministre,président,république,4125.637006714702
ministre,jacques,chirac,2616.648866741051
ministre,intérieur,président,800.7918482328196
ministre,éducation,nationale,475.5859999496902
ministre,commissaire,européen,303.81553785644
sociale,moyen,prospérité,91.78342285871443
responsables,politiques,français,621.0670635494745
réveil,sera,terrible,117.70997977916764
agriculteurs,termine,professionnelle,139.86704185669214
elle,rencontre,chinon,182.63872855325621
elle,échappera,techniques,150.68731185834557
elle,croit,miraculeux,134.32391004626817
elle,reste,mois,79.64381252759955
nationalité,hérite,mérite,252.68577391562576
lire,écrire,compter,422.99990357642304
lire,écrire,monter,375.73992598208724
nouvelle,remercier,présence,131.45741068270362
sommes,campagne,électorale,1079.7292830354938
sommes,capables,fabriquer,111.32353887645955
sommes,pauvres,nous,108.83363858252164
dois,dire,suis,1175.4297635674645
dire,front,national,19018.30239611594
dire,certain,nombre,7340.097032030679
dire,nicolas,sarkozy,6901.412178758179
dire,union,européenne,4308.626778799428
dire,quelque,chose,1979.2636336373284
dire,veut,dire,1353.5827582775248
dire,premier,tour,1004.8754784160017
dire,morale,publique,463.963477199572
dire,euros,mois,303.9492072166908
dire,beaucoup,choses,215.64338054195412
dire,vérité,français,206.51621886103277
dire,suis,désaccord,142.99290581809385
euro,veut,dire,1336.2141319928644
euro,monnaie,commune,240.31613563542848
euro,franc,serait,107.88135700815366
génération,actuelle,agriculteurs,140.7789148407341
décider,entre,maintient,199.63474764872058
toutes,aides,sociales,869.6988795972409
toutes,forces,toute,400.53351779961986
toutes,forces,france,387.81448536256823
toutes,nations,monde,194.91518787439497
toutes,conditions,toutes,194.2603570519912
toutes,régions,france,181.51967080806693
toutes,couches,société,145.12373306328573
présenter,candidature,arabe,291.2542515512184
programme,front,national,19098.13465174203
liberté,peuple,français,2511.844070827879
liberté,égalité,fraternité,531.9540341024651
liberté,équité,fraternité,336.21814391018734
liberté,expression,liberté,323.8417091008009
liberté,pensée,liberté,312.04517145922443
liberté,sécurité,prospérité,291.42273302400366
liberté,individuelle,dignité,175.39904892119023
liberté,soucieuse,humbles,140.6763309125363
destruction,services,publics,1834.8352115199677
amour,patrie,terrestre,348.2653664796492
amour,peuple,amour,129.66047857458213
vous,président,république,4189.2668439527715
vous,savez,bien,2219.576830114408
vous,savez,suis,2074.712944272329
vous,savez,monsieur,2002.7130859681295
vous,savez,crois,1968.9859502400714
vous,voyez,bien,1002.2679650402827
vous,avez,raison,980.5668409388907
vous,avez,compris,887.9566415744322
vous,voyez,mesdames,864.0102824669345
vous,voyez,différence,851.9098180584624
vous,êtes,train,659.3374702162444
vous,êtes,seuls,518.9522704166889
vous,imaginez,bien,258.4151854398291
charges,fiscales,sociales,230.53201736915935
sordide,jugée,tribunal,181.75472022947142
présence,conférence,presse,514.1958730377312
anciens,compagnons,armes,204.2703860168947
immense,majorité,français,655.2379368494367
immense,majorité,homosexuels,628.9518532153056
immense,majorité,entre,609.3870932932048
aucune,aide,sociale,279.07941784654207
vivent,euros,mois,376.0162677909167
vivent,dessous,seuil,187.25131113651312
classe,politique,française,1896.8308993546643
classe,politique,médiatique,1532.4795281211482
classe,politique,gauche,1401.4317159903883
classe,politique,aujourd,1351.3125755210779
classe,politico,médiatique,553.4351160031213
groupe,front,national,19047.65311907768
groupe,droites,européennes,361.72773688397086
euros,vous,voyez,865.4782029161603
euros,mois,millions,314.2681847644698
euros,fraude,sociale,248.57454789433118
euros,intérêts,dette,239.50063850334203
réduction,temps,travail,131.14810687948855
reconnaît,aucune,communauté,150.7626498984414
bonnet,rose,rose,171.436902864152
rose,rose,bonnet,171.436902864152
place,protectionnisme,intelligent,585.6119938378695
place,patriotisme,économique,584.7073512660611
place,politique,dissuasive,205.19581887109106
installation,jeunes,agriculteurs,284.4170670469507
partis,bande,quatre,412.4907496848167
partis,représentés,assemblée,222.4598927584892
partis,gouverné,france,111.82778363184357
cause,excès,injustices,123.65920664678671
accepté,supprimer,définitivement,129.03122478461245
basses,insultes,plus,199.55198438989507
partie,pouvoir,achat,2199.825505444949
partie,électeurs,gauche,95.89365015891362
siècles,plus,tard,772.3847079628539
salariale,cotisations,sociales,206.30907344636887
guerre,famine,peste,170.95076014716372
guerre,grand,chef,170.66528877323725
parité,franc,euro,229.70203248156656
quatrième,puissance,économique,172.5463319423894
plusieurs,assistances,irrésistiblement,168.7555963960268
voix,front,national,19080.97392835126
voix,premier,tour,1033.1273076608245
voix,élections,présidentielles,685.0438623397085
militaire,volontaire,mois,122.4523117585532
martinez,serge,félon,168.68235512005327
dette,publique,réelle,213.54834044064177
sarkozy,nicolas,sarkozy,6906.642321912874
sarkozy,françois,hollande,1679.3771379665536
sarkozy,ministre,intérieur,803.4235545224135
sarkozy,ségolène,royal,621.9927505996916
sarkozy,faut,bien,498.692617423403
sarkozy,dominique,strauss,458.7788479582718
sarkozy,bayrou,royal,212.99078938776123
sarkozy,avait,promis,206.12528897848318
sarkozy,royal,bayrou,179.07806240014588
épargné,échange,gloire,254.7751285201428
acquérir,nationalité,française,673.4306498595075
grande,partie,entre,679.7240344117463
grande,différence,entre,300.0379134057757
grande,pitié,royaume,240.36147188814846
grande,politique,développement,98.06018651948014
priorité,nationale,absolue,359.2641580693573
priorité,accès,logement,354.1885149718513
priorité,accès,emploi,299.6748256384363
plus,front,national,19029.908776289813
plus,certain,nombre,7365.535070397018
plus,nicolas,sarkozy,6897.159721952916
plus,milliards,euros,2394.2067112611094
plus,plus,nombreux,968.1573805925775
plus,nombreux,plus,895.638817900315
plus,faibles,plus,824.7111711640289
plus,grande,partie,809.0836667892834
plus,tard,portes,791.624965230263
plus,tard,jeanne,771.8270769779731
plus,tard,nôtres,768.8607858507189
plus,tard,souvenir,767.2017632946483
plus,plus,difficile,661.7759189002531
plus,pauvres,plus,659.7181098054014
plus,plus,importants,655.1054951199287
plus,plus,pauvres,645.7329238354796
plus,modestes,plus,643.721584629342
plus,lucides,plus,623.1200112064937
plus,plus,importante,614.8332041256378
plus,humbles,plus,610.3957228333691
plus,plus,souvent,602.5921909834846
plus,jeune,plus,599.8639950622166
plus,riches,plus,599.2980248071153
plus,plus,cher,597.34376029901
plus,plus,importantes,594.0648960785718
plus,plus,stérilisante,583.5367011254833
plus,gagner,plus,575.0741488481627
plus,lourde,plus,573.6590123008323
plus,plus,nombreuses,571.6659937136444
plus,europe,plus,567.5583301941635
plus,plus,français,566.5322554410668
plus,plus,lourde,564.124639371171
plus,plus,grandes,557.1303715853048
plus,grand,nombre,461.51613545332964
plus,nombreux,recherche,391.1419318235602
plus,millions,demi,375.33347768100475
plus,faut,faire,340.2883856390316
plus,grande,fermeté,296.710587880583
plus,grand,bénéfice,281.6281031890026
plus,millions,étrangers,278.26205375044646
plus,rien,offrir,261.2547468524656
plus,grand,meeting,255.11049778018352
plus,grand,respect,252.49285119081185
plus,important,celui,251.88443164406107
plus,rien,dire,250.46607976603713
plus,basses,insultes,226.57616000774095
plus,prendre,charge,224.24100699193428
plus,rien,attendre,213.31754418157672
