measure,first,second,third
14.094548312943722,place,patriotisme,économique
20.671055703226436,classe,politico,médiatique
13.723857118964375,classe,politique,médiatique
12.34444352941626,classe,politique,française
10.852590433086583,classe,politique,gauche
9.980746784577267,classe,politique,aujourd
17.216835665583368,quelques,dizaines,milliers
16.727797584860745,quelques,centaines,milliers
14.712903369561047,quelques,semaines,quelques
14.495716107355857,quelques,semaines,élection
12.67777784644042,quelques,jours,après
12.41392201619221,quelques,mois,élection
12.211532619503384,quelques,mois,élections
10.864429460177849,quelques,semaines,plus
10.608089706918065,quelques,jours,plus
8.782635369014201,quelques,mois,plus
14.483208793786869,assume,assez,bien
18.3710235231253,insécurité,chômage,fiscalisme
21.218678842123097,réservées,familles,françaises
27.735825958616672,peter,mandelson,commissaire
21.022983158650646,installation,jeunes,agriculteurs
23.1837450520137,personnage,historique,parcours
14.861189562012783,grave,crise,économique
23.234798507486367,grèce,irlande,portugal
21.895996594034607,grèce,espagne,portugal
16.797857700408155,membre,bureau,politique
15.754853988764001,étais,contre,intervention
14.723857118964379,complicité,classe,politique
16.852762953667373,était,trompé,porte
13.656546975828203,était,jean,marie
13.258574667395887,était,ministre,agriculture
11.977438455186785,était,premier,ministre
11.134622569534123,était,quelque,sorte
9.965156869267894,était,nicolas,sarkozy
9.386390367660631,était,président,république
14.648742026112014,augmentation,pouvoir,achat
13.779425105423421,financière,fiscale,plus
22.33993776664297,pape,martin,sera
18.546253500151593,delà,certain,montant
13.5993758867074,delà,date,plus
14.758554250194823,pourrait,croire,temps
15.213240424273454,perte,pouvoir,achat
23.471973930181857,peste,ravagent,pays
23.0513277843446,2013,assurer,renouvellement
20.11384886890266,2013,delà,date
17.84466223608728,2010,conseil,général
15.359722723578273,regarder,réalité,face
17.133041891997784,responsable,politique,administratif
28.517645788567137,calomnies,échappera,techniques
23.16814144932735,perdu,presque,1422
15.194136657860295,perdu,millions,emplois
21.416137250296902,contre,vents,marées
21.302202197685382,contre,trafic,drogues
19.06773694404835,contre,plans,renflouement
18.878703119658333,contre,mariage,homosexuel
17.041741735515412,contre,traité,rome
16.005568122961925,contre,mondialisation,sauvage
15.308000042223483,contre,ennemi,avenir
14.95921248727019,contre,immigration,clandestine
14.87492110265178,contre,concurrence,déloyale
13.516174319463637,contre,jean,marie
12.178094711991879,contre,constitution,européenne
12.07804571680844,contre,droit,vote
11.08321491218754,contre,insécurité,contre
11.038071388405726,contre,front,national
17.245777359133744,assemblée,nationale,sénat
14.843678915562396,assemblée,nationale,malgré
10.11061777585211,assemblée,nationale,bien
14.085909028728512,échec,nicolas,sarkozy
29.917576395455775,boréal,brest,vladivostok
22.074178723472645,referendum,initiative,populaire
17.62923275231536,voter,utile,voter
15.186958189896274,voter,deuxième,tour
10.757822972057419,voter,front,national
19.49761621760789,parité,franc,euro
19.946245738287043,majorité,qualifiée,conseil
18.715679385504895,majorité,socialo,communiste
18.465363759778374,passer,unanimité,majorité
18.20199566710583,pouvoir,socialo,communistes
16.005435539160054,pouvoir,achat,consommation
13.468169780470191,pouvoir,achat,emploi
13.091524515873765,pouvoir,achat,chômage
12.155450223761314,pouvoir,achat,français
10.840406012523307,pouvoir,achat,faut
24.13330508651121,neutralité,religieuse,neutralité
18.279215906640648,neutralité,politique,religieuse
16.14841197890143,obtenir,nationalité,française
11.250699397267326,avait,certain,nombre
16.643895896470216,proclamé,france,jeanne
26.978976940119917,continent,boréal,brest
15.544005060358575,vais,donner,chiffre
14.289285922736788,vais,donner,exemple
13.760394693556282,vais,mettre,droits
13.078291034424609,vais,mettre,place
12.148801327742461,vais,dire,clairement
11.548028312173855,vais,dire,chose
10.79154015974282,vais,dire,vais
18.415370753128187,éclaté,grand,jour
25.26413415685186,prière,jésus,marie
17.36011269385795,coût,sortie,euro
17.05313228119135,dissolution,assemblée,nationale
18.302048928739545,pays,contrainte,injuste
15.60160921059845,pays,vient,livré
15.120758608326248,pays,respectent,aucune
12.84708568204611,pays,tiers,monde
12.635824925936372,pays,millions,habitants
12.522192805805272,pays,zone,euro
12.024004323907686,pays,union,européenne
11.968955711336232,pays,près,niveau
11.880685350935764,pays,plus,attractif
11.880685350935764,pays,plus,généreux
9.835207720417944,pays,certain,nombre
6.035754970877925,pays,faut,dire
21.40406810406269,compatriotes,métropole,outre
20.0720863445114,compatriotes,zones,rurales
18.41698344956194,aujourd,intégré,culture
8.327816882170655,aujourd,front,national
6.993091045447425,aujourd,plus,jamais
4.559149401564184,aujourd,plus,plus
22.991445157717138,rencontre,chinon,tête
13.695201911384345,pense,peine,mort
11.821277556168063,pense,faut,arrêter
10.613983473267506,pense,certain,nombre
10.378440331806797,pense,nicolas,sarkozy
10.214711329478384,pense,président,république
8.74373060075423,pense,front,national
7.582415202353058,pense,beaucoup,français
9.743146395424969,mouvement,front,national
23.321248575763637,acquisition,automatique,nationalité
22.57147311352648,compensation,dette,agricole
19.240590912418412,partis,bande,quatre
19.182255433873213,partis,représentés,assemblée
15.69853115304706,partis,gouverné,france
17.501218673676032,martin,sera,seul
13.778123240074756,pire,jospin,crois
9.437419319232927,lourde,plus,plus
19.591708814880356,action,vigoureuse,contre
13.376688425045206,banlieues,nicolas,sarkozy
21.542429672617267,emploi,plusieurs,assistances
18.957467171896113,emploi,charge,collectivité
17.79750655667215,emploi,logement,aides
14.205135374636399,emploi,pouvoir,achat
25.384751518069802,henri,meurt,henri
25.187305453863576,henri,angleterre,proclamé
11.27873210167117,dirigeants,front,national
19.626789544756875,croit,miraculeux,faire
16.16921580038146,hausse,pouvoir,achat
19.676608435595163,population,mondiale,passée
19.0067393757069,salaires,travailleurs,manuels
18.520581885041228,salaires,manuels,salaires
11.969127057132383,salaires,travailleurs,français
16.07758204547099,politique,agricole,commune
15.713339247050378,politique,socialo,communiste
15.665456141612047,politique,dissuasive,immigration
15.314548979752917,politique,présenter,candidature
12.387922166083147,politique,agricole,française
12.106304542750529,politique,familiale,politique
11.642357442990733,politique,commissaire,politique
11.568594602359457,politique,immigration,masse
11.206024522974747,politique,immigration,massive
10.899453263389386,politique,premier,ministre
10.59137933282458,politique,quelque,chose
10.14329979736323,politique,économique,sociale
9.624137271636702,politique,nicolas,sarkozy
9.444642913818555,politique,certain,nombre
7.837424447139078,politique,front,national
7.734812288257256,politique,veux,dire
20.480171083148477,projet,radicalement,différent
15.213384542453586,projet,redressement,économique
12.600220314735875,projet,contre,projet
9.821148907426245,projet,front,national
23.04584224526087,impôt,successions,ligne
20.50668343415284,impôt,revenu,impôt
18.244223692752417,impôt,revenu,travail
20.559590040378023,service,militaire,volontaire
26.67246389761924,considéré,fardeau,obligation
11.454796067726026,ecoutez,vais,dire
22.190916707415965,nationalité,hérite,mérite
13.017816070190808,postes,travail,faire
11.254382058575427,identité,sécurité,français
20.188380536323688,répondre,appel,offre
23.71790405061941,pacte,stabilité,budgétaire
14.824171822595765,élire,président,république
21.030412204691267,régionales,mars,2010
16.55881328636592,travail,cause,excès
14.602778570911966,travail,faire,travailleur
14.271862374074693,travail,famille,patrie
16.22181309284722,frein,immigrés,plus
18.168193182004753,ravagent,pays,paris
26.4150760549266,acte,prière,jésus
11.85237766879455,bien,etats,unis
11.178601609162225,bien,normal,après
