mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
partisan,adj,7,3,1,3,,7,,,,,3,1,3,,,
patriote,adj,27,4,13,10,5,18,4,,2,3,4,7,7,,4,
patriotique,adj,18,4,14,,,18,,,,,4,14,,,,
patron,adj,15,6,2,7,7,6,2,4,,3,1,2,3,1,,1
patronal,adj,8,1,7,,1,7,,,1,,1,6,,,,
pauvre,adj,27,9,16,2,9,17,1,3,4,2,6,11,,,1,
paysan,adj,8,,5,3,,8,,,,,,5,3,,,
pêcheur,adj,4,2,2,,,4,,,,,2,2,,,,
pénal,adj,9,3,2,4,2,5,2,,,2,3,1,1,,1,1
performant,adj,12,6,5,1,4,7,1,2,1,1,4,3,,,1,
permanent,adj,37,13,18,6,1,34,2,1,,,11,18,5,1,,1
personnel,adj,39,14,18,7,16,21,2,5,8,3,9,8,4,,2,
perspectif,adj,5,1,2,2,,5,,,,,1,2,2,,,
pervers,adj,6,4,1,1,2,4,,2,,,2,1,1,,,
petit,adj,166,48,97,21,49,105,12,17,23,9,28,65,12,3,9,
pétrolier,adj,9,5,4,,3,2,4,1,2,,1,1,,3,1,
peuple,adj,53,17,25,11,10,42,1,5,3,2,11,22,9,1,,
physique,adj,9,3,6,,,9,,,,,3,6,,,,
pire,adj,46,19,20,7,9,35,2,3,4,2,16,15,4,,1,1
pitoyable,adj,15,6,6,3,6,6,3,2,2,2,2,3,1,2,1,
plan,adj,13,5,7,1,5,7,1,2,3,,3,3,1,,1,
plein,adj,29,16,7,6,11,14,4,6,2,3,6,5,3,4,,
polémique,adj,8,3,4,1,2,4,2,,2,,1,2,1,2,,
policier,adj,2,1,1,,,2,,,,,1,1,,,,
politique,adj,463,168,164,131,140,241,82,41,45,54,102,81,58,25,38,19
populaire,adj,66,26,25,15,16,43,7,8,4,4,16,17,10,2,4,1
portugais,adj,5,1,3,1,1,3,1,1,,,,2,1,,1,
positif,adj,17,7,5,5,7,7,3,5,2,,1,1,5,1,2,
possible,adj,59,18,28,13,12,37,10,2,10,,10,14,13,6,4,
pragmatique,adj,8,2,6,,4,2,2,1,3,,1,1,,,2,
pratique,adj,2,1,1,,,2,,,,,1,1,,,,
précaire,adj,5,2,3,,,5,,,,,2,3,,,,
précédent,adj,11,4,5,2,4,6,1,3,1,,1,3,2,,1,
précieux,adj,7,3,4,,,7,,,,,3,4,,,,
précis,adj,15,6,6,3,8,6,1,3,3,2,3,3,,,,1
prédateur,adj,7,3,1,3,,7,,,,,3,1,3,,,
premier,adj,179,68,79,32,51,101,27,17,22,12,42,43,16,9,14,4
présent,adj,30,10,12,8,13,12,5,4,4,5,5,4,3,1,4,
présidentiel,adj,149,71,71,7,42,80,27,20,19,3,38,39,3,13,13,1
prêt,adj,30,13,17,,13,15,2,8,5,,4,11,,1,1,
prétexte,adj,5,3,2,,4,,1,3,1,,,,,,1,
prévisible,adj,6,4,2,,2,2,2,2,,,1,1,,1,1,
primaire,adj,3,1,2,,,3,,,,,1,2,,,,
principal,adj,19,7,5,7,6,10,3,2,1,3,4,3,3,1,1,1
prioritaire,adj,11,3,7,1,6,5,,2,3,1,1,4,,,,
problématique,adj,6,3,2,1,4,2,,2,1,1,1,1,,,,
prochain,adj,21,8,11,2,4,13,4,1,3,,4,7,2,3,1,
proche,adj,19,9,9,1,10,5,4,4,6,,2,2,1,3,1,
producteur,adj,2,1,,1,,2,,,,,1,,1,,,
professionnel,adj,17,8,7,2,2,15,,,,2,8,7,,,,
profond,adj,22,8,10,4,8,13,1,3,4,1,5,5,3,,1,
progressif,adj,11,3,7,1,3,5,3,2,1,,1,3,1,,3,
proportionnel,adj,29,10,16,3,18,6,5,7,10,1,3,1,2,,5,
propre,adj,72,30,25,17,23,38,11,5,10,8,21,12,5,4,3,4
prospère,adj,11,2,5,4,,11,,,,,2,5,4,,,
protecteur,adj,13,6,3,4,3,8,2,1,1,1,3,2,3,2,,
province,adj,1,,1,,,1,,,,,,1,,,,
prudent,adj,6,5,1,,1,1,4,1,,,,1,,4,,
psychologique,adj,6,1,4,1,2,4,,,1,1,1,3,,,,
public,adj,296,122,125,49,50,237,9,25,12,13,95,108,34,2,5,2
publicitaire,adj,6,2,4,,,6,,,,,2,4,,,,
puissant,adj,15,8,5,2,4,10,1,3,,1,5,4,1,,1,
pur,adj,11,8,3,,4,6,1,4,,,4,2,,,1,
quitte,adj,6,3,2,1,1,5,,,,1,3,2,,,,
quotidien,adj,19,7,6,6,3,16,,2,,1,5,6,5,,,
raciste,adj,8,5,3,,2,3,3,2,,,1,2,,2,1,
radical,adj,29,4,21,4,2,19,8,,1,1,1,15,3,3,5,
raisonnable,adj,13,3,8,2,4,8,1,2,,2,,8,,1,,
rapide,adj,7,1,6,,2,5,,,2,,1,4,,,,
rebelle,adj,3,,,3,3,,,,,3,,,,,,
récent,adj,12,5,5,2,2,10,,1,,1,4,5,1,,,
récidiviste,adj,7,1,4,2,1,4,2,,1,,,2,2,1,1,
record,adj,5,1,4,,,5,,,,,1,4,,,,
redoutable,adj,5,1,3,1,,5,,,,,1,3,1,,,
réel,adj,33,18,7,8,7,22,4,5,2,,11,3,8,2,2,
référendaire,adj,5,1,4,,4,1,,,4,,1,,,,,
régional,adj,33,14,12,7,12,16,5,6,5,1,8,5,3,,2,3
régulier,adj,5,2,3,,1,4,,,1,,2,2,,,,
religieux,adj,27,9,15,3,7,16,4,3,1,3,6,10,,,4,
remarquable,adj,6,2,2,2,3,3,,1,,2,1,2,,,,
représentatif,adj,11,5,4,2,5,4,2,1,2,2,2,2,,2,,
républicain,adj,50,13,26,11,10,37,3,2,2,6,8,24,5,3,,
respectueux,adj,7,2,4,1,,6,1,,,,1,4,1,1,,
responsable,adj,42,14,12,16,18,16,8,7,1,10,5,9,2,2,2,4
révélateur,adj,7,2,5,,2,5,,,2,,2,3,,,,
révolutionnaire,adj,6,2,3,1,4,2,,,3,1,2,,,,,
riche,adj,17,6,9,2,5,12,,1,4,,5,5,2,,,
rouge,adj,11,5,4,2,2,6,3,1,,1,4,2,,,2,1
rural,adj,36,3,31,2,,33,3,,,,3,28,2,,3,
sain,adj,7,3,3,1,,6,1,,,,2,3,1,1,,
saint,adj,5,3,1,1,,5,,,,,3,1,1,,,
salarial,adj,8,,8,,6,,2,,6,,,,,,2,
sanitaire,adj,10,4,6,,7,3,,3,4,,1,2,,,,
sauf,adj,21,8,10,3,12,5,4,6,4,2,2,2,1,,4,
sauvage,adj,27,4,8,15,1,25,1,1,,,3,7,15,,1,
scandaleux,adj,24,6,9,9,11,7,6,1,4,6,3,4,,2,1,3
scolaire,adj,15,3,9,3,1,14,,,,1,3,9,2,,,
second,adj,34,14,17,3,15,11,8,2,10,3,7,4,,5,3,
secondaire,adj,5,3,2,,2,3,,2,,,1,2,,,,
secret,adj,5,3,2,,,3,2,,,,2,1,,1,1,
sensible,adj,11,4,4,3,4,4,3,,2,2,1,2,1,3,,
sérieux,adj,22,6,9,7,14,6,2,3,7,4,1,2,3,2,,
serve,adj,5,1,4,,,4,1,,,,1,3,,,1,
servile,adj,7,2,3,2,,7,,,,,2,3,2,,,
seul,adj,309,119,135,55,98,180,31,40,36,22,69,82,29,10,17,4
sien,adj,16,8,8,,3,10,3,2,1,,4,6,,2,1,
sienne,adj,8,4,2,2,4,4,,1,1,2,3,1,,,,
silencieux,adj,7,1,6,,3,4,,1,2,,,4,,,,
simple,adj,66,21,34,11,24,33,9,8,10,6,12,17,4,1,7,1
sincère,adj,12,4,6,2,1,9,2,1,,,2,5,2,1,1,
social,adj,340,137,172,31,103,195,42,36,53,14,76,103,16,25,16,1
socialiste,adj,57,19,30,8,29,21,7,7,17,5,10,8,3,2,5,
soi-disant,adj,21,9,9,3,8,10,3,4,4,,2,5,3,3,,
solidaire,adj,5,2,2,1,2,3,,1,1,,1,1,1,,,
solide,adj,10,4,2,4,1,9,,,,1,4,2,3,,,
sombre,adj,6,1,3,2,1,5,,,1,,1,2,2,,,
sourd,adj,6,2,4,,,6,,,,,2,4,,,,
souverain,adj,28,8,9,11,3,18,7,,,3,5,5,8,3,4,
soviétique,adj,6,2,2,2,4,2,,1,2,1,1,,1,,,
spectaculaire,adj,11,5,2,4,6,3,2,1,2,3,3,,,1,,1
statistique,adj,3,2,,1,1,2,,,,1,2,,,,,
stratégique,adj,27,13,13,1,11,14,2,3,7,1,9,5,,1,1,
strict,adj,10,2,7,1,3,7,,1,1,1,1,6,,,,
stupide,adj,5,,4,1,1,4,,,1,,,3,1,,,
successif,adj,13,5,6,2,1,12,,,1,,5,5,2,,,
suffisant,adj,20,10,8,2,9,11,,4,3,2,6,5,,,,
sujet,adj,16,6,7,3,8,8,,4,2,2,2,5,1,,,
supérieur,adj,18,10,7,1,5,13,,3,1,1,7,6,,,,
supplémentaire,adj,25,16,7,2,13,11,1,9,2,2,6,5,,1,,
supranational,adj,10,4,5,1,1,8,1,,1,,4,3,1,,1,
suprême,adj,9,3,4,2,1,8,,,,1,3,4,1,,,
sûr,adj,228,71,97,60,113,85,30,38,40,35,24,41,20,9,16,5
susceptible,adj,7,3,4,,3,1,3,2,1,,,1,,1,2,
symbolique,adj,12,7,2,3,8,4,,5,1,2,2,1,1,,,
syndical,adj,13,6,7,,1,11,1,,1,,6,5,,,1,
systématique,adj,17,4,8,5,6,9,2,2,1,3,2,5,2,,2,
tabou,adj,8,5,,3,3,5,,,,3,5,,,,,
tactique,adj,1,,,1,,1,,,,,,,1,,,
taire,adj,,,,,,,,,,,,,,,,
technique,adj,7,4,3,,3,4,,1,2,,3,1,,,,
tel,adj,76,32,33,11,24,37,15,11,10,3,15,16,6,6,7,2
terrible,adj,32,10,18,4,8,23,1,,6,2,9,12,2,1,,
terrifiant,adj,13,8,4,1,8,3,2,4,4,,2,,1,2,,
territorial,adj,32,23,8,1,11,20,1,7,3,1,16,4,,,1,
terroriste,adj,5,,3,2,3,2,,,1,2,,2,,,,
tien,adj,28,8,13,7,19,4,5,6,8,5,1,1,2,1,4,
tiers,adj,3,1,2,,,3,,,,,1,2,,,,
tôt,adj,10,3,5,2,1,8,1,,,1,2,5,1,1,,
total,adj,67,20,35,12,31,30,6,9,14,8,8,18,4,3,3,
totalitaire,adj,10,7,3,,2,8,,2,,,5,3,,,,
traditionnel,adj,15,6,7,2,8,7,,3,4,1,3,3,1,,,
transparent,adj,5,3,2,,2,2,1,2,,,1,1,,,1,
travailleur,adj,5,1,2,2,1,4,,,1,,1,1,2,,,
triple,adj,6,3,3,,1,4,1,1,,,2,2,,,1,
triste,adj,14,6,8,,3,10,1,2,1,,3,7,,1,,
tunisien,adj,7,7,,,5,1,1,5,,,1,,,1,,
ultralibéral,adj,59,18,30,11,13,28,18,6,4,3,5,17,6,7,9,2
unique,adj,48,20,19,9,13,32,3,9,2,2,11,15,6,,2,1
unique(l'),adj,5,2,3,,1,4,,,1,,2,2,,,,
urgent,adj,9,4,5,,2,7,,1,1,,3,4,,,,
utile,adj,31,13,9,9,12,19,,4,2,6,9,7,3,,,
vague,adj,9,3,4,2,2,5,2,,1,1,2,3,,1,,1
variable,adj,7,2,3,2,3,3,1,,1,2,1,2,,1,,
vaste,adj,14,5,7,2,2,10,2,1,,1,3,6,1,1,1,
venant,adj,5,,2,3,4,,1,,1,3,,,,,1,
véritable,adj,100,51,39,10,28,60,12,16,11,1,27,24,9,8,4,
vert,adj,6,1,4,1,3,2,1,1,2,,,1,1,,1,
viable,adj,8,6,2,,4,2,2,4,,,1,1,,1,1,
vide,adj,5,2,2,1,,3,2,,,,,2,1,2,,
vieux,adj,28,8,16,4,3,23,2,1,,2,7,14,2,,2,
vif,adj,46,15,23,8,1,43,2,,1,,14,21,8,1,1,
violent,adj,18,9,5,4,7,8,3,4,,3,3,5,,2,,1
visible,adj,7,3,4,,,7,,,,,3,4,,,,
vital,adj,13,9,4,,4,7,2,4,,,5,2,,,2,
vite,adj,19,5,10,4,4,14,1,1,2,1,4,7,3,,1,
vivant,adj,6,4,2,,1,5,,1,,,3,2,,,,
volontaire,adj,7,2,4,1,3,4,,1,1,1,1,3,,,,
voyant,adj,6,2,2,2,3,3,,2,,1,,2,1,,,
voyou,adj,2,,1,1,1,1,,,,1,,1,,,,
vraie,adj,43,17,19,7,14,25,4,5,8,1,11,8,6,1,3,
vulgaire,adj,9,4,4,1,,9,,,,,4,4,1,,,
zéro,adj,9,2,6,1,5,3,1,1,4,,1,1,1,,1,
FALSE,adj,41,14,14,13,22,15,4,10,2,10,4,9,2,,3,1
TRUE,adj,129,64,45,20,76,30,23,47,18,11,9,12,9,8,15,
elle,lex,418,166,181,71,148,228,42,57,56,35,93,103,32,16,22,4
elles,lex,90,43,38,9,42,35,13,22,14,6,16,16,3,5,8,
eux,lex,174,65,75,34,55,94,25,22,19,14,36,41,17,7,15,3
il,lex,1892,727,838,327,844,717,331,320,343,181,294,315,108,113,180,38
ils,lex,697,238,328,131,314,273,110,80,152,82,127,120,26,31,56,23
j,lex,4,4,,,,4,,,,,4,,,,,
je,lex,2981,1048,1351,582,1563,908,510,646,561,356,214,520,174,188,270,52
nous,lex,1742,730,637,375,523,1054,165,228,170,125,430,388,236,72,79,14
on,lex,1264,463,603,198,687,357,220,251,283,153,136,202,19,76,118,26
vous,lex,1482,515,628,339,757,454,271,283,268,206,154,226,74,78,134,59
–,nms,109,43,48,18,71,8,30,32,24,15,3,3,2,8,21,1
)(y(n'),nms,86,44,28,14,47,28,11,29,11,7,13,8,7,2,9,
)(y(s'),nms,4,1,3,,,2,2,,,,1,1,,,2,
à(qu'),nms,12,6,3,3,5,5,2,3,2,,3,1,1,,,2
abandon(l'),nms,1,1,,,,,1,,,,,,,1,,
abord(d'),nms,56,15,21,20,14,28,14,5,3,6,10,4,14,,14,
absurdité,nms,1,,1,,,1,,,,,,1,,,,
abus,nms,1,1,,,,1,,,,,1,,,,,
accès,nms,2,,2,,,2,,,,,,2,,,,
accès(l'),nms,1,,1,,,1,,,,,,1,,,,
accord,nms,4,,4,,3,,1,,3,,,,,,1,
accord(d'),nms,10,,10,,10,,,,10,,,,,,,
accord(l'),nms,2,1,1,,,2,,,,,1,1,,,,
achat,nms,4,2,2,,2,2,,,2,,2,,,,,
achat(d'),nms,15,4,8,3,5,9,1,1,4,,3,4,2,,,1
acte,nms,7,1,3,3,4,3,,1,2,1,,1,2,,,
action,nms,8,3,3,2,3,5,,,3,,3,,2,,,
action(l'),nms,1,,1,,,1,,,,,,1,,,,
actionnaire,nms,1,1,,,,,1,,,,,,,1,,
activité,nms,1,,1,,,,1,,,,,,,,1,
adhérent,nms,1,,1,,1,,,,1,,,,,,,
administration,nms,2,2,,,,2,,,,,2,,,,,
administration(l'),nms,3,1,2,,1,2,,,1,,1,1,,,,
adoption(l'),nms,1,,1,,1,,,,1,,,,,,,
adversaire,nms,5,2,,3,2,3,,,,2,2,,1,,,
affaire,nms,19,6,7,6,1,15,3,,,1,6,4,5,,3,
aggravation(l'),nms,1,1,,,1,,,1,,,,,,,,
agression,nms,1,,1,,,1,,,,,,1,,,,
agriculture,nms,2,,2,,,2,,,,,,2,,,,
agriculture(l'),nms,3,1,2,,1,2,,1,,,,2,,,,
aide,nms,17,4,11,2,4,12,1,1,1,2,2,10,,1,,
aide(l'),nms,3,,3,,,1,2,,,,,1,,,2,
ailleur(d'),nms,179,91,59,29,123,9,47,75,29,19,1,4,4,15,26,6
alain(d'),nms,4,2,2,,,4,,,,,2,2,,,,
allemagne(l'),nms,5,3,1,1,3,1,1,3,,,,,1,,1,
allié,nms,1,,,1,,1,,,,,,,1,,,
alternance,nms,1,1,,,,1,,,,,1,,,,,
amalgame,nms,1,,,1,1,,,,,1,,,,,,
ambition,nms,3,,,3,,3,,,,,,,3,,,
âme,nms,1,,1,,,1,,,,,,1,,,,
ami,nms,72,34,35,3,6,66,,1,2,3,33,33,,,,
amour,nms,1,,,1,,1,,,,,,,1,,,
amour(l'),nms,3,1,2,,,3,,,,,1,2,,,,
amoureux,nms,1,,1,,,,1,,,,,,,,1,
an,nms,145,53,87,5,52,54,39,22,26,4,18,35,1,13,26,
analyse,nms,4,,3,1,3,1,,,3,,,,1,,,
analyste,nms,1,,,1,,1,,,,,,,1,,,
anarchie(l'),nms,7,,7,,,7,,,,,,7,,,,
ancien,nms,2,2,,,2,,,2,,,,,,,,
angélisme(l'),nms,2,,2,,,2,,,,,,2,,,,
année,nms,10,4,6,,5,,5,4,1,,,,,,5,
anonyme,nms,2,,2,,,2,,,,,,2,,,,
appel,nms,2,1,,1,,2,,,,,1,,1,,,
appelle(j'),nms,1,,1,,1,,,,1,,,,,,,
application,nms,1,1,,,,1,,,,,1,,,,,
apprentissage(l'),nms,1,1,,,,1,,,,,1,,,,,
arc(d'),nms,3,3,,,,3,,,,,3,,,,,
argent,nms,6,6,,,,6,,,,,6,,,,,
argument,nms,1,1,,,,1,,,,,1,,,,,
arme,nms,6,,5,1,2,4,,,1,1,,4,,,,
armée,nms,1,,,1,1,,,,,1,,,,,,
arrangement,nms,2,1,1,,,2,,,,,1,1,,,,
arrêt,nms,2,2,,,,2,,,,,2,,,,,
artifice,nms,1,,,1,1,,,,,1,,,,,,
artisan,nms,5,,5,,,5,,,,,,5,,,,
artiste,nms,4,4,,,4,,,4,,,,,,,,
assemblée,nms,3,2,1,,,3,,,,,2,1,,,,
assimilation(l'),nms,6,,5,1,,6,,,,,,5,1,,,
association,nms,5,3,2,,1,1,3,1,,,1,,,1,2,
assume(l'),nms,2,,,2,,,2,,,,,,,,,2
atout,nms,2,1,1,,1,1,,1,,,,1,,,,
atteinte,nms,1,1,,,,1,,,,,1,,,,,
attends(j'),nms,1,,1,,,1,,,,,,1,,,,
attitude,nms,1,,1,,,1,,,,,,1,,,,
au-delà,nms,3,1,2,,1,1,1,,1,,,1,,1,,
au(qu'),nms,2,1,1,,1,,1,1,,,,,,,1,
auditeur,nms,1,1,,,1,,,1,,,,,,,,
augmentation,nms,6,4,1,1,6,,,4,1,1,,,,,,
augmentation(l'),nms,1,,1,,1,,,,1,,,,,,,
aujourd'hui,nms,269,118,104,47,83,149,37,54,11,18,52,71,26,12,22,3
aujourd'hui(d'),nms,1,,1,,,1,,,,,,1,,,,
autorité,nms,13,2,9,2,,13,,,,,2,9,2,,,
autre(d'),nms,10,2,6,2,,9,1,,,,2,5,2,,1,
autre(l'),nms,11,5,6,,6,5,,3,3,,2,3,,,,
autres(d'),nms,23,8,10,5,13,10,,5,6,2,3,4,3,,,
avantage,nms,2,1,1,,1,,1,1,,,,,,,1,
avec(qu'),nms,1,1,,,,1,,,,,1,,,,,
avenir,nms,23,15,2,6,4,19,,1,,3,14,2,3,,,
avis,nms,2,,,2,,2,,,,,,,2,,,
avocat,nms,3,,,3,3,,,,,3,,,,,,
avoir(d'),nms,16,7,5,4,8,3,5,6,1,1,1,,2,,4,1
avoir(l'),nms,1,1,,,,1,,,,,1,,,,,
avoir(n'),nms,1,1,,,1,,,1,,,,,,,,
baguette,nms,1,,1,,1,,,,1,,,,,,,
baisse,nms,18,13,4,1,6,7,5,4,2,,5,2,,4,,1
bande,nms,4,1,3,,,4,,,,,1,3,,,,
banlieue,nms,18,3,15,,5,10,3,2,3,,1,9,,,3,
banque,nms,40,13,20,7,4,34,2,3,1,,10,18,6,,1,1
Banque,nms,2,,2,,2,,,,2,,,,,,,
banquier,nms,2,,,2,,2,,,,,,,2,,,
base,nms,3,2,,1,,2,1,,,,2,,,,,1
bateau,nms,1,1,,,,1,,,,,1,,,,,
bâtiment,nms,1,1,,,,1,,,,,1,,,,,
bénéfice,nms,5,3,2,,2,1,2,,2,,1,,,2,,
besoin,nms,22,10,11,1,4,17,1,3,1,,7,9,1,,1,
bien,nms,2,1,1,,,1,1,,,,1,,,,1,
bilan,nms,6,,6,,5,1,,,5,,,1,,,,
bipolarisation,nms,2,2,,,2,,,2,,,,,,,,
blanc,nms,1,1,,,,1,,,,,1,,,,,
bon,nms,1,1,,,,1,,,,,1,,,,,
bonheur,nms,2,2,,,,2,,,,,2,,,,,
bonjour,nms,3,,3,,3,,,,3,,,,,,,
boomerang,nms,5,,5,,,5,,,,,,5,,,,
bouclier,nms,2,,2,,,2,,,,,,2,,,,
bras,nms,5,,5,,,5,,,,,,5,,,,
brevet,nms,1,,1,,1,,,,1,,,,,,,
bricolage,nms,2,,,2,,,2,,,,,,,,,2
budget,nms,11,4,6,1,5,6,,2,3,,2,3,1,,,
bureau,nms,2,,2,,,2,,,,,,2,,,,
but,nms,2,1,1,,,2,,,,,1,1,,,,
cadre,nms,6,1,2,3,2,4,,,,2,1,2,1,,,
camp,nms,4,1,,3,,4,,,,,1,,3,,,
campagne,nms,66,15,49,2,11,47,8,4,7,,11,36,,,6,2
candidat,nms,44,16,25,3,16,19,9,9,4,3,3,16,,4,5,
candidate,nms,8,1,7,,1,6,1,,1,,,6,,1,,
candidature,nms,6,5,1,,4,1,1,4,,,,1,,1,,
cap,nms,10,,5,5,5,5,,,,5,,5,,,,
capacité,nms,5,2,,3,,5,,,,,2,,3,,,
capitaine,nms,2,,,2,2,,,,,2,,,,,,
capital,nms,2,,2,,2,,,,2,,,,,,,
car,nms,4,,,4,4,,,,,4,,,,,,
caractère,nms,1,,,1,,1,,,,,,,1,,,
carcan,nms,4,1,3,,4,,,1,3,,,,,,,
cas,nms,33,5,21,7,19,3,11,2,10,7,1,2,,2,9,
casse,nms,1,,1,,,1,,,,,,1,,,,
caste,nms,10,7,3,,1,9,,,1,,7,2,,,,
casting,nms,5,,4,1,,4,1,,,,,4,,,,1
catastrophe,nms,1,,1,,,,1,,,,,,,,1,
catégorie,nms,3,3,,,,3,,,,,3,,,,,
catimini,nms,2,1,1,,,2,,,,,1,1,,,,
cave,nms,1,,1,,,1,,,,,,1,,,,
cellule,nms,1,,1,,1,,,,1,,,,,,,
censure,nms,2,,,2,,2,,,,,,,2,,,
centre,nms,10,2,6,2,1,9,,,1,,2,5,2,,,
cercle,nms,4,1,3,,1,3,,1,,,,3,,,,
chaîne,nms,3,3,,,,3,,,,,3,,,,,
champ,nms,4,,4,,,4,,,,,,4,,,,
chance,nms,5,,5,,1,3,1,,1,,,3,,,1,
changement,nms,13,1,11,1,1,12,,1,,,,11,1,,,
chaos,nms,2,1,1,,1,1,,1,,,,1,,,,
charge,nms,22,4,18,,11,5,6,,11,,2,3,,2,4,
charte,nms,2,,,2,,2,,,,,,,2,,,
chaussure,nms,1,,1,,,,1,,,,,,,,1,
chef,nms,11,6,5,,6,5,,1,5,,5,,,,,
chemin,nms,23,5,14,4,2,20,1,,2,,5,11,4,,1,
chèque,nms,1,,1,,,1,,,,,,1,,,,
chiffrage,nms,6,,6,,,5,1,,,,,5,,,1,
chiffre,nms,11,11,,,6,4,1,6,,,4,,,1,,
choix,nms,55,42,11,2,22,29,4,20,1,1,20,8,1,2,2,
chômage,nms,48,16,22,10,11,27,10,6,4,1,8,11,8,2,7,1
chômeur,nms,5,3,2,,2,1,2,1,1,,,1,,2,,
chose,nms,106,21,52,33,73,21,12,20,33,20,,19,2,1,,11
chute,nms,1,1,,,1,,,1,,,,,,,,
cible,nms,1,1,,,,1,,,,,1,,,,,
ciel,nms,1,,1,,,1,,,,,,1,,,,
circonscription,nms,2,,2,,2,,,,2,,,,,,,
circonstance,nms,3,,3,,1,2,,,1,,,2,,,,
circulation,nms,1,,1,,1,,,,1,,,,,,,
cité,nms,1,,1,,,1,,,,,,1,,,,
citoyen,nms,16,7,5,4,2,14,,,2,,7,3,4,,,
civilisation,nms,7,1,6,,,7,,,,,1,6,,,,
classe,nms,5,,4,1,1,4,,,1,,,3,1,,,
clé,nms,3,,3,,,3,,,,,,3,,,,
clef,nms,1,1,,,,1,,,,,1,,,,,
clivage,nms,1,,,1,1,,,,,1,,,,,,
cœur,nms,20,5,10,5,,20,,,,,5,10,5,,,
cohérence,nms,9,1,7,1,3,3,3,,2,1,1,2,,,3,
colère,nms,5,1,4,,,5,,,,,1,4,,,,
collectif,nms,1,,,1,,1,,,,,,,1,,,
collectivité,nms,3,2,1,,,3,,,,,2,1,,,,
combat,nms,19,9,6,4,2,15,2,,2,,8,3,4,1,1,
commentaire,nms,2,,,2,2,,,,,2,,,,,,
commerçant,nms,3,1,2,,,3,,,,,1,2,,,,
commerce,nms,7,2,3,2,,5,2,,,,2,2,1,,1,1
commissariat,nms,1,,1,,,,1,,,,,,,,1,
commission,nms,3,2,1,,2,,1,2,,,,,,,1,
communautarisme,nms,11,2,4,5,1,10,,1,,,1,4,5,,,
communautariste,nms,3,3,,,2,,1,2,,,,,,1,,
communauté,nms,22,8,12,2,2,15,5,,2,,7,6,2,1,4,
communication,nms,9,3,1,5,1,8,,1,,,2,1,5,,,
compatriote,nms,33,11,17,5,3,29,1,,1,2,11,15,3,,1,
compétence,nms,5,3,2,,,3,2,,,,3,,,,2,
compétitivité,nms,10,3,7,,8,,2,3,5,,,,,,2,
compromission,nms,2,1,1,,,2,,,,,1,1,,,,
compte,nms,16,10,4,2,4,9,3,3,,1,5,3,1,2,1,
concentration,nms,1,,1,,,1,,,,,,1,,,,
concept,nms,1,1,,,,1,,,,,1,,,,,
conception,nms,2,1,,1,,2,,,,,1,,1,,,
concitoyen,nms,1,,,1,,1,,,,,,,1,,,
concurrence,nms,11,3,8,,8,2,1,2,6,,1,1,,,1,
condamnation,nms,2,,,2,,,2,,,,,,,,,2
condition,nms,22,4,14,4,10,9,3,4,5,1,,6,3,,3,
confiance,nms,20,3,2,15,4,16,,,1,3,3,1,12,,,
conflit,nms,1,1,,,,1,,,,,1,,,,,
conformisme,nms,1,1,,,1,,,1,,,,,,,,
confort,nms,3,2,,1,1,2,,,,1,2,,,,,
congrès,nms,1,1,,,,1,,,,,1,,,,,
connaissance,nms,1,,1,,,1,,,,,,1,,,,
conscience,nms,11,5,2,4,,10,1,,,,5,1,4,,1,
conseil,nms,20,12,8,,4,15,1,4,,,8,7,,,1,
conseiller,nms,1,,,1,,1,,,,,,,1,,,
conséquence,nms,22,10,5,7,17,2,3,8,2,7,,2,,2,1,
considération,nms,1,,1,,1,,,,1,,,,,,,
consommation,nms,3,3,,,,3,,,,,3,,,,,
constat,nms,1,1,,,,1,,,,,1,,,,,
constitution,nms,4,1,3,,,2,2,,,,1,1,,,2,
Constitution,nms,3,,,3,3,,,,,3,,,,,,
construction,nms,3,3,,,1,2,,1,,,2,,,,,
contestation,nms,1,1,,,,,1,,,,,,,1,,
contexte,nms,3,2,,1,1,2,,1,,,1,,1,,,
continent,nms,1,,1,,,1,,,,,,1,,,,
contrainte,nms,1,,1,,,,1,,,,,,,,1,
contrat,nms,4,2,,2,,4,,,,,2,,2,,,
contribuable,nms,1,1,,,,1,,,,,1,,,,,
contribution,nms,2,1,1,,,2,,,,,1,1,,,,
contrôle,nms,9,3,2,4,4,5,,1,,3,2,2,1,,,
conviction,nms,13,6,7,,5,8,,2,3,,4,4,,,,
copain,nms,1,1,,,1,,,1,,,,,,,,
copinage,nms,2,2,,,2,,,2,,,,,,,,
corps,nms,1,1,,,1,,,1,,,,,,,,
corruption,nms,2,1,1,,,2,,,,,1,1,,,,
côté,nms,7,1,5,1,3,3,1,,2,1,1,2,,,1,
couleur,nms,3,3,,,,3,,,,,3,,,,,
coup,nms,13,2,10,1,6,7,,1,5,,1,5,1,,,
cour,nms,3,2,1,,2,1,,1,1,,1,,,,,
courage,nms,6,6,,,3,3,,3,,,3,,,,,
courrier,nms,1,,1,,,1,,,,,,1,,,,
course,nms,2,,2,,2,,,,2,,,,,,,
coût,nms,16,6,8,2,8,6,2,3,3,2,2,4,,1,1,
