mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
protectionnisme social,syt,6,2,4,,1,5,,1,,,1,4,,,,
protectorat américain,syt,2,2,,,,2,,,,,2,,,,,
proverbe arabe,syt,2,2,,,1,,1,1,,,,,,1,,
proximité idéologique,syt,4,,3,1,3,1,,,2,1,,1,,,,
publicité mensonger,syt,2,1,1,,,2,,,,,1,1,,,,
publicité qu'il s'offre,syt,2,1,1,,,2,,,,,1,1,,,,
puisqu'il n'y,syt,2,2,,,1,,1,1,,,,,,1,,
puissance d'argent,syt,2,2,,,,2,,,,,2,,,,,
puissance d'équilibre,syt,3,2,,1,,3,,,,,2,,1,,,
puissance financier,syt,6,2,4,,2,4,,1,1,,1,3,,,,
puissance grand * économique,syt,2,2,,,2,,,2,,,,,,,,
puissance mondial,syt,5,3,2,,,5,,,,,3,2,,,,
puissance public,syt,7,4,2,1,,7,,,,,4,2,1,,,
pulsion consumériste,syt,2,2,,,,2,,,,,2,,,,,
qualité de vie,syt,3,2,1,,,3,,,,,2,1,,,,
quartier difficile,syt,2,,2,,,,2,,,,,,,,2,
quartier entier,syt,6,3,3,,,6,,,,,3,3,,,,
question d'économie,syt,2,,2,,2,,,,2,,,,,,,
question de la crise,syt,2,,2,,,2,,,,,,2,,,,
question grand *,syt,3,2,1,,2,1,,1,1,,1,,,,,
quota d'importation,syt,6,2,4,,1,5,,1,,,1,4,,,,
racisme anti-français,syt,2,,2,,,1,1,,,,,1,,,1,
radar automatique,syt,2,,2,,1,1,,,1,,,1,,,,
raison d'égo,syt,2,1,1,,2,,,1,1,,,,,,,
raison d'être,syt,4,1,3,,,3,1,,,,,3,,1,,
raison électoraliste,syt,4,2,1,1,2,2,,1,1,,1,,1,,,
raison idéologique,syt,2,,,2,2,,,,,2,,,,,,
raison politique,syt,2,1,,1,2,,,1,,1,,,,,,
raison simple,syt,5,,3,2,4,,1,,2,2,,,,,1,
rapport humain,syt,4,,1,3,,4,,,,,,1,3,,,
rassemblement à vocation majoritaire,syt,2,1,1,,1,,1,1,,,,,,,1,
rassemblement capable,syt,2,1,1,,,2,,,,,1,1,,,,
rassemblement du peuple français,syt,2,2,,,,1,1,,,,1,,,1,,
rassemblement grand *,syt,3,2,1,,1,1,1,1,,,1,,,,1,
réaction d'hystérie,syt,2,,2,,2,,,,2,,,,,,,
réalité c'est,syt,4,3,1,,,2,2,,,,2,,,1,1,
réalité désolant,syt,2,1,1,,,2,,,,,1,1,,,,
réalité en face,syt,2,1,,1,1,1,,1,,,,,1,,,
rebelle libyen,syt,2,,2,,1,1,,,1,,,1,,,,
rebelle syrien,syt,2,,1,1,2,,,,1,1,,,,,,
recherche des parrainage,syt,2,,2,,2,,,,2,,,,,,,
reconquête des service public,syt,2,,2,,,2,,,,,,2,,,,
reconstitution de baronnie local,syt,2,1,1,,,2,,,,,1,1,,,,
recours à l'immigration,syt,2,2,,,,,2,,,,,,,2,,
recours sur succession,syt,2,1,1,,,2,,,,,1,1,,,,
recul de civilisation,syt,2,,2,,,2,,,,,,2,,,,
recul de la laïcité,syt,3,2,,1,1,1,1,,,1,1,,,1,,
redressement du pays,syt,3,2,1,,,3,,,,,2,1,,,,
redressement économique,syt,6,4,1,1,1,5,,1,,,3,1,1,,,
redressement national,syt,4,1,3,,,3,1,,,,1,2,,,1,
réflexion politique,syt,3,2,1,,1,2,,1,,,1,1,,,,
réforme de fond,syt,2,,2,,,2,,,,,,2,,,,
réforme de la décentralisation,syt,2,1,1,,,2,,,,,1,1,,,,
réforme du mode d'élection des conseiller territorial,syt,2,1,1,,,2,,,,,1,1,,,,
régime précédent,syt,2,2,,,2,,,2,,,,,,,,
région administratif,syt,2,1,1,,,2,,,,,1,1,,,,
région français,syt,2,1,1,,1,1,,1,,,,1,,,,
règle clair,syt,3,1,1,1,,3,,,,,1,1,1,,,
règle de fonctionnement,syt,2,2,,,2,,,2,,,,,,,,
règle de représentativité,syt,2,1,1,,,2,,,,,1,1,,,,
règle du jeu,syt,6,,5,1,3,3,,,2,1,,3,,,,
règle général,syt,4,1,2,1,3,,1,1,1,1,,,,,1,
règle minimal,syt,2,1,1,,,2,,,,,1,1,,,,
règle social,syt,2,2,,,1,1,,1,,,1,,,,,
règlement de compte,syt,3,,2,1,,3,,,,,,2,1,,,
règne de l'argent-roi,syt,2,2,,,,2,,,,,2,,,,,
régression social,syt,5,5,,,2,2,1,2,,,2,,,1,,
regroupement familial,syt,5,2,2,1,1,3,1,1,,,1,1,1,,1,
régularisation massif,syt,2,1,1,,1,1,,,1,,1,,,,,
réindustrialisation du pays,syt,3,3,,,,3,,,,,3,,,,,
réindustrialisation n'est,syt,2,2,,,,2,,,,,2,,,,,
relation humain,syt,2,1,,1,,2,,,,,1,,1,,,
relation pathologique,syt,2,2,,,2,,,2,,,,,,,,
relèvement des exigence,syt,3,2,1,,,3,,,,,2,1,,,,
remède ultralibéral,syt,2,,2,,,2,,,,,,2,,,,
remise automatique de peine,syt,2,,2,,,2,,,,,,2,,,,
remise en ordre de l'etat-nation,syt,2,2,,,,2,,,,,2,,,,,
renflouement à répétition,syt,2,2,,,1,1,,1,,,1,,,,,
renseignement digne,syt,2,,,2,1,1,,,,1,,,1,,,
réponse concret,syt,3,1,2,,,3,,,,,1,2,,,,
république référendaire,syt,3,,3,,3,,,,3,,,,,,,
réseau social,syt,2,,1,1,,2,,,,,,1,1,,,
réserve légal de titre,syt,2,,2,,2,,,,2,,,,,,,
résistance à l'oppression,syt,2,2,,,,2,,,,,2,,,,,
respect de l'environnement,syt,2,2,,,2,,,2,,,,,,,,
respect de la démocratie,syt,2,1,,1,2,,,1,,1,,,,,,
respect du pluralisme,syt,2,1,1,,,2,,,,,1,1,,,,
responsabilité local,syt,2,1,1,,,2,,,,,1,1,,,,
responsabilité particulier,syt,2,2,,,,2,,,,,2,,,,,
responsabilité pénal,syt,2,,1,1,1,1,,,,1,,1,,,,
responsable politique,syt,29,10,5,14,16,10,3,5,2,9,3,3,4,2,,1
ressource annuel,syt,2,1,1,,,2,,,,,1,1,,,,
restaurant chinois,syt,2,1,1,,,2,,,,,1,1,,,,
reste du temps,syt,2,1,1,,,2,,,,,1,1,,,,
reste l'opportuniter,syt,2,1,1,,,2,,,,,1,1,,,,
reste n'est,syt,2,2,,,,2,,,,,2,,,,,
restriction de la représentativité,syt,2,1,1,,,2,,,,,1,1,,,,
résultat électoral,syt,2,2,,,,1,1,,,,1,,,1,,
résultat sur l'emploi,syt,2,2,,,2,,,2,,,,,,,,
retour grand *,syt,2,2,,,,1,1,,,,1,,,1,,
retraite dérisoire,syt,2,1,1,,,2,,,,,1,1,,,,
retraité français,syt,2,1,1,,,2,,,,,1,1,,,,
retraité pauvre,syt,2,1,1,,,2,,,,,1,1,,,,
retraite petit *,syt,2,1,,1,,2,,,,,1,,1,,,
revalorisation des salaire,syt,2,2,,,,2,,,,,2,,,,,
révélation successif,syt,2,1,1,,,2,,,,,1,1,,,,
revendication communautariste,syt,4,2,2,,,4,,,,,2,2,,,,
revenu petit *,syt,2,,2,,,2,,,,,,2,,,,
revers de main,syt,2,1,1,,,2,,,,,1,1,,,,
révolte monte,syt,2,1,1,,,2,,,,,1,1,,,,
révolte populaire,syt,2,,2,,1,1,,,1,,,1,,,,
révolution arabe,syt,2,2,,,1,1,,1,,,1,,,,,
révolution fiscal,syt,4,4,,,3,1,,3,,,1,,,,,
roitelet local,syt,2,1,1,,,2,,,,,1,1,,,,
