date,Europe,France,avenir,caste,chef,civilisastion,classe,classe moyenne,communauté,culture,devoir,droit,délinquance,démocracie,etat,euro,famille,finance,fraternité,genre,identité,immigration,immigré,intérêt,islam,islamisme,islamiste,laïcité,liberté,migratoire,millénaire,mondialisation,morale,mot,musulman,nation,nationalisation,nationalite,parole,patriote,patriotique,patriotisme,patronat,peuple,politique,priorité,protection,préférence,religieux,républicain,souveraineté,syndicats,systeme,total words,travail,vote,égalité,élites,éternel,étranger
2007-02-20,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,2,0,1,1,0,0,2743,0,0,0,0,0,0
2007-02-26,5,19,3,0,1,0,0,0,1,0,3,3,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,10,0,0,1,0,0,0,0,13,11,0,4,4,0,0,3,1,0,5673,6,0,1,0,0,0
2007-03-03,0,29,0,0,0,0,1,0,1,0,0,18,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,5,0,2,1,0,0,5047,3,3,0,0,0,3
2007-03-06,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,1687,0,0,1,0,0,0
2007-03-11,1,20,0,0,0,0,3,0,2,4,6,9,0,0,0,0,13,0,2,0,2,1,0,0,0,0,0,1,15,0,0,0,7,3,0,14,0,0,0,0,1,2,0,11,8,2,3,1,0,0,2,2,0,6672,17,0,0,0,1,0
2007-03-20,0,9,0,0,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,2,0,1,11,0,0,1,0,2,0,0,0,3967,2,0,0,1,0,0
2007-03-23,9,11,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,8,0,1,2,0,0,2,0,0,2668,0,1,0,0,0,0
2007-03-24,0,16,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,2090,0,0,0,0,0,0
2007-03-25,10,23,1,0,0,0,3,0,2,1,0,7,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6,1,0,2,1,1,0,8,0,0,0,0,0,0,0,13,19,0,1,0,0,0,4,0,0,6120,5,1,0,0,0,0
2007-03-31,2,18,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,8,0,4218,27,0,0,0,0,0
