first,second,third,likelihood_ratio
pays,certain,nombre,7337.657714407404
pays,union,européenne,4345.786614012437
pays,zone,euro,782.332764305797
pays,tiers,monde,508.069882042518
pays,faut,dire,390.57965695695543
pays,millions,habitants,233.92499273835557
pays,respectent,aucune,136.06787505668973
pays,plus,attractif,113.8561697231008
pays,contrainte,injuste,107.87160260842495
pays,vient,livré,100.8681175692005
pays,bien,crois,83.66235358726038
pays,plus,généreux,83.51957624834435
pays,près,niveau,66.52337115624947
zone,libre,échange,798.1801549935283
zone,euro,bien,774.0968368013476
dire,front,national,19018.312057930812
dire,certain,nombre,7340.100686830321
dire,nicolas,sarkozy,6901.415484226873
dire,union,européenne,4308.628933116674
dire,quelque,chose,1979.2648836098697
dire,veut,dire,1353.584087234761
dire,premier,tour,1004.8761317826511
dire,morale,publique,463.96376102362643
dire,euros,mois,303.9494472745218
dire,beaucoup,choses,215.6435988596595
dire,vérité,français,206.51653228353263
dire,suis,désaccord,142.9931708577992
pèse,baisse,salaires,635.86901147558
importation,droits,douane,1091.1006062065858
toute,classe,politique,1444.235794711316
toute,série,secteurs,1078.322975374941
toute,série,propositions,1072.2711042024844
toute,série,domaines,1069.1792744127351
toute,série,mesures,1067.9316793844
toute,série,gens,1060.0932351196934
toute,série,choses,1059.2935353967832
toute,histoire,france,352.28575755938095
toute,classe,politico,240.77453307196535
toute,misère,monde,205.6286484428914
toute,légitimité,démocratique,142.944993470109
toute,chose,égale,138.33638267175397
toute,modification,traités,109.96715690735378
vote,front,national,19035.099929766864
situation,responsables,politiques,633.507458222914
situation,économique,sociale,502.9344897628182
situation,dramatique,laquelle,348.55290402623257
situation,actuelle,france,156.55970438624306
situation,sociale,français,57.00992795416985
électeurs,front,national,19165.919719946418
frein,immigrés,plus,103.72915416271994
coût,sortie,euro,334.12330553762223
salariale,cotisations,sociales,206.30917139491777
immortelle,abandons,trahisons,250.38252159619162
militaire,volontaire,mois,122.4523731832735
calomnies,elle,échappera,176.90338596273776
projet,front,national,19038.35396779103
projet,redressement,économique,172.07432580693091
projet,radicalement,différent,157.92106466659192
projet,contre,projet,143.5256547421211
protectionnisme,intelligent,frontières,481.3168319762654
protectionnisme,frontières,nationales,162.5211241987974
protectionnisme,égard,pays,79.68808102321941
service,militaire,volontaire,279.17408736747427
administratif,faire,objet,241.8469863044553
vice,premier,ministre,1567.701409163286
acte,prière,jésus,215.9698193953465
trahisons,lâchetés,plus,124.18753400956382
demander,avis,peuple,103.81669621861334
sordide,jugée,tribunal,181.75478264405066
déclaration,droits,homme,236.66263997228717
dois,dire,suis,1175.430697241914
immigrés,plus,plus,552.35542288786
immigrés,tiers,monde,523.5708353999978
immigrés,situation,irrégulière,183.5999379456505
ferrée,pieds,taille,280.5005129890529
certes,parlement,européen,1081.8791782431324
bénéfice,grands,groupes,923.8503415321998
après,élection,présidentielle,2281.678040449154
après,deuxième,guerre,196.612217201135
après,affaire,merah,103.69860053455156
emprisonnée,rouen,cage,305.98042791142285
gardée,soudards,cachot,283.9674410977948
