first,second,third,likelihood_ratio
siècles,plus,tard,574.4195097958523
jospin,homme,gauche,137.22806533937114
jospin,avait,deuxième,81.89162591661454
candidat,élection,présidentielle,1322.3166830348246
candidat,peuple,français,963.0040031033442
candidat,présidence,république,735.1879725483541
candidat,élections,présidentielles,589.7554137603728
candidat,démocrate,républicain,130.7736648675442
garde,sceaux,arpaillange,231.31709512380144
peuple,amour,patrie,236.77032676530484
milliards,euros,soit,1059.698767863801
milliards,euros,année,1026.6395510358748
milliards,euros,2005,1020.2437762149868
milliards,euros,mais,982.5169790773507
première,guerre,mondiale,410.2166883119212
première,guerre,irak,192.9198839864789
rend,compte,productivité,192.91447962822713
rend,bien,compte,86.4612942389474
europe,nord,celle,162.63688276712554
problème,immigration,faut,166.54832840762487
représentants,front,national,12816.463185285837
politiques,front,national,12797.826973799081
politiques,économiques,sociales,390.7609446822044
politiques,économiques,sociaux,241.42184459041925
près,millions,voix,319.3555012824698
près,quatre,millions,181.7253813582144
voulez,faire,club,102.12463357927538
épargné,échange,gloire,262.40656382530364
quatre,millions,demi,391.13912564695477
quatre,millions,voix,329.2672754173842
quatre,coins,monde,160.47339321633547
quatre,plus,anglais,112.43810119938499
celui,front,national,12821.266330625554
école,nationale,magistrature,135.90966899672253
école,usine,chômeurs,118.1327645644802
logement,aides,sociales,332.6993529071822
2007,2013,delà,119.70976224834217
dessous,seuil,pauvreté,211.6402489489065
nationale,emploi,logement,161.6676368720234
nationale,érigé,fête,125.36325929576819
nationale,malgré,millions,92.3589123524528
nationale,travail,cause,69.86931746035951
nationale,politique,gouvernement,56.7467845115043
pauvres,faibles,riches,144.24305883559296
entré,millions,immigrés,245.93011611054115
vaste,zone,libre,143.65291498015117
débarqué,normandie,écrasé,200.83221145146098
bonnet,rose,rose,165.70038836352194
doivent,garder,souvenir,153.25074755871512
charges,fiscales,sociales,249.7708738589592
tribunal,ecclésiastique,présidé,313.0288897433807
quitté,front,national,12817.31330858875
population,mondiale,passée,208.57106120570373
abord,faire,diagnostic,116.00937566995903
gagner,deuxième,tour,1354.5407499667017
vendue,anglais,bourguignons,271.05715646137327
postes,travail,faire,80.33930972298148
2009,sera,chargé,113.24817784177222
unanimité,majorité,qualifiée,215.47468375556332
meurt,henri,angleterre,165.54001737926183
année,après,année,152.40623139846258
cela,étant,crois,327.7579493867291
aller,plus,loin,281.4389811168417
aller,jusqu,bout,242.51280018746215
aller,secours,libérer,127.5789055869069
injustices,considéré,fardeau,172.25567171598095
pire,jospin,crois,128.42074633423255
couverture,maladie,universelle,171.98812941546964
ainsi,pouvoir,achat,635.7873952689458
libérer,france,elle,87.07591337036406
démontrons,paris,plus,105.2631829873036
jargeau,juin,patay,229.25193793247075
trois,mois,après,260.32387757076765
trois,quatre,cinq,182.2013695411925
conséquent,front,national,12803.2004714297
soixante,après,guerre,161.73163408553188
religieuse,neutralité,politique,166.1133885792864
pourrait,croire,temps,118.94580815931455
voudrais,simplement,faire,152.2010293064745
voudrais,abord,dire,138.25887749458957
tours,élection,présidentielle,1379.2890418310437
déjà,certain,nombre,3919.1591590594776
rien,sera,épargné,121.12090554636634
soudards,cachot,sordide,281.2098949523904
jeanne,sait,lire,100.03512931104775
marie,france,stirbois,127.86763060636875
marie,elle,libération,102.7233913364217
