first,second,likelihood_ratio
soucieuse,humbles,51.2103100294553
demain,voulu,47.66420896819144
demain,rase,45.17575971773432
demain,soir,21.874102403857716
demain,enfin,11.182627951444232
demain,plus,0.7021470528724896
vient,livré,43.454958438550726
vient,faire,15.000906806069544
vient,monde,9.334779509862337
socialistes,communistes,71.18631407372408
boîte,postale,86.61873207089155
faut,dire,246.33820669863732
faut,bien,177.1015317606155
faut,savoir,134.0252725458268
faut,faire,131.32205049061292
faut,aller,58.36016790155738
faut,revenir,46.405244302104805
faut,abord,42.80558325486918
faut,noter,40.71611296268456
faut,mettre,40.50811592439738
faut,reconnaitre,38.56609992466396
faut,modifier,37.64766738241405
faut,rétablir,36.61121853773635
faut,regarder,31.879486339465764
faut,laisser,30.15522123410834
faut,confondre,26.774243766492607
faut,supprimer,26.484472887281903
faut,donner,25.110275128039905
faut,arrêter,23.18139807960853
faut,poser,23.18139807960853
faut,remettre,21.019333554690885
faut,prendre,18.078451927731397
faut,rendre,17.636175199130975
faut,oublier,17.452633056574278
faut,sortir,17.28800064459086
faut,ajouter,17.035646458349056
faut,changer,16.664306394364885
faut,traiter,16.399994994080345
faut,cesser,16.10690018323515
faut,reconnaître,16.10690018323515
faut,penser,15.95336649735057
faut,libérer,15.56251122480621
faut,essayer,14.713705745537192
faut,agir,14.609623389830102
faut,construire,14.394679656944355
faut,attendre,14.187698825422128
faut,retrouver,12.921674190106565
faut,extrêmement,12.762433672484129
faut,créer,12.45725374249534
faut,porter,12.168312183591592
faut,rappeler,12.029431752219768
faut,résoudre,11.761976649764947
faut,trouver,10.2905560006886
faut,mieux,10.16154110098611
faut,parler,9.991323645557586
faut,évidemment,6.154238101184058
faut,jamais,3.960843608644394
faut,effet,3.5047575296307487
faut,france,1.2225904522579087
faut,plus,0.40458199249040305
faut,français,0.13318916485866428
communes,rurales,43.147153828779295
communes,france,10.19938300106298
engagé,personnellement,33.76159204269804
faux,semblants,128.16264737832586
faux,témoignages,54.27252434422261
faux,semblant,30.61502189735912
milliards,euros,644.874049485465
milliards,francs,277.4640027032014
milliards,habitants,107.29012296875158
milliards,dollars,59.18571572899141
milliards,dette,46.55536559102932
milliards,milliards,20.392314817246145
milliards,hommes,18.181472685828037
amsterdam,schengen,42.3961345397278
amsterdam,nice,39.8835665828099
commerçants,artisans,85.68524245243441
europe,fédérale,210.91799648392353
europe,nations,89.60480518930447
europe,bruxelles,86.98437875685806
europe,nord,74.33135310715058
europe,ouest,37.5268701600953
europe,patries,36.31676221398739
europe,maastricht,32.64956211478087
europe,occidentale,29.896554612272954
europe,unie,23.83614296371092
europe,europe,19.455901840430766
europe,fera,18.440808532904597
europe,monde,18.363952960607797
europe,frontières,18.015775726605625
europe,centrale,17.59055151228824
europe,coopération,15.058740536888333
europe,ayant,9.443138460120228
europe,dont,9.314498447159417
europe,après,7.7081055788594455
europe,pourrait,7.702432195301184
europe,ailleurs,6.284940721587743
europe,patrie,5.963952446073428
europe,puisque,5.582366929641979
europe,france,4.8243345363376235
